State,School_Level,School_Locality,School_Size,Subject,Race,Gender,Experience
NE,Elementary,Suburban,250to499,Math,White,Female,10to15
KY,Middle,Suburban,250to499,Math,White,Female,10to15
KY,Elementary,Suburban,1000Plus,NatSci,Black,Female,3to9
NY,High,Urban,500to999,NatSci,Black,Female,10to15
NM,Elementary,Town,1000Plus,ELA,White,Female,16Plus
NE,Middle,Urban,Lessthan250,ELA,White,Female,3to9
VA,Elementary,Urban,1000Plus,Math,Black,Female,10to15
LA,Elementary,Urban,250to499,ELA,White,Female,3to9
OK,High,Town,1000Plus,ELA,White,Male,10to15
NE,High,Suburban,500to999,NatSci,White,Female,16Plus
NY,Elementary,Urban,250to499,Math,White,Male,10to15
NE,Elementary,Suburban,1000Plus,ELA,White,Female,16Plus
LA,Elementary,Urban,500to999,Math,White,Male,10to15
TN,Middle,Town,250to499,ELA,White,Female,10to15
CA,Elementary,Rural,1000Plus,NatSci,White,Female,10to15
IL,Elementary,Town,Lessthan250,ELA,White,Female,10to15
MS,Elementary,Town,500to999,NatSci,White,Female,16Plus
MA,Elementary,Rural,500to999,NatSci,White,Female,16Plus
MA,Elementary,Suburban,250to499,NatSci,White,Female,10to15
NM,Elementary,Urban,250to499,NatSci,White,Male,16Plus
NY,High,Suburban,1000Plus,ELA,White,Female,16Plus
NY,High,Suburban,250to499,NatSci,White,Female,3to9
NE,High,Urban,250to499,NatSci,White,Female,16Plus
KY,Elementary,Town,500to999,ELA,White,Female,16Plus
CA,Elementary,Town,1000Plus,NatSci,White,Female,3to9
MA,High,Urban,500to999,ELA,White,Female,3to9
PA,Middle,Urban,500to999,ELA,Black,Female,16Plus
CO,Middle,Urban,Lessthan250,NatSci,White,Female,16Plus
LA,Elementary,Urban,1000Plus,Math,Black,Female,3to9
KY,Elementary,Urban,250to499,Math,White,Female,10to15
OK,Elementary,Urban,500to999,ELA,Hispanic,Female,16Plus
FL,High,Urban,1000Plus,Math,White,Female,3to9
WI,Elementary,Urban,250to499,ELA,White,Female,10to15
WV,High,Urban,250to499,Math,White,Male,3to9
DE,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
TX,Elementary,Urban,500to999,ELA,White,Female,10to15
NE,High,Suburban,1000Plus,NatSci,Hispanic,Female,3to9
AR,Elementary,Urban,500to999,ELA,White,Female,3to9
AR,High,Suburban,500to999,Math,White,Female,10to15
DE,Elementary,Urban,250to499,Math,White,Female,16Plus
CA,Elementary,Town,250to499,ELA,Multirace,Female,16Plus
TN,High,Urban,500to999,NatSci,White,Female,16Plus
WI,Middle,Rural,1000Plus,NatSci,White,Female,10to15
TX,High,Town,500to999,NatSci,White,Female,10to15
MA,High,Suburban,1000Plus,ELA,White,Male,10to15
OH,Elementary,Urban,1000Plus,NatSci,White,Female,10to15
OH,Elementary,Suburban,500to999,ELA,Multirace,Male,3to9
OH,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
AL,Elementary,Urban,250to499,ELA,Black,Female,3to9
TN,Middle,Urban,250to499,NatSci,Multirace,Female,10to15
GA,Elementary,Urban,500to999,Math,White,Female,16Plus
OH,High,Suburban,Lessthan250,Math,White,Female,16Plus
NY,High,Suburban,500to999,Math,Hispanic,Female,10to15
FL,Elementary,Town,250to499,ELA,White,Female,16Plus
NM,High,Urban,500to999,ELA,White,Female,3to9
MD,High,Town,500to999,Math,White,Female,3to9
TX,High,Urban,500to999,NatSci,White,Female,3to9
NY,Elementary,Suburban,1000Plus,ELA,White,Male,16Plus
AR,High,Rural,500to999,NatSci,Hispanic,Female,3to9
OH,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
OH,Elementary,Suburban,250to499,ELA,White,Female,3to9
NY,Elementary,Urban,250to499,NatSci,White,Female,3to9
RI,High,Urban,250to499,Math,White,Female,3to9
NE,Middle,Rural,500to999,NatSci,White,Female,16Plus
NY,Elementary,Rural,500to999,Math,Black,Female,3to9
OH,Elementary,Urban,250to499,ELA,Hispanic,Female,3to9
MA,Elementary,Town,250to499,ELA,Multirace,Female,3to9
KS,Elementary,Rural,250to499,ELA,White,Female,16Plus
CA,Middle,Suburban,1000Plus,ELA,Black,Female,16Plus
OH,Elementary,Suburban,250to499,ELA,White,Female,16Plus
TX,High,Urban,1000Plus,ELA,White,Female,10to15
DE,Elementary,Urban,500to999,ELA,White,Female,10to15
RI,High,Urban,250to499,Math,White,Female,10to15
CO,Elementary,Rural,1000Plus,Math,White,Female,16Plus
TN,Middle,Rural,500to999,ELA,White,Female,10to15
AR,Elementary,Town,500to999,Math,White,Female,16Plus
TN,Elementary,Suburban,500to999,ELA,Hispanic,Female,3to9
AR,Elementary,Suburban,Lessthan250,NatSci,White,Female,3to9
TX,Middle,Rural,1000Plus,Math,White,Female,3to9
NY,High,Suburban,1000Plus,Math,White,Female,3to9
KY,High,Urban,250to499,ELA,White,Female,10to15
TX,Elementary,Urban,250to499,ELA,White,Female,10to15
CA,Elementary,Urban,1000Plus,Math,White,Female,16Plus
NE,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
MD,Elementary,Suburban,500to999,NatSci,White,Male,16Plus
FL,Elementary,Rural,500to999,Math,White,Female,16Plus
CA,High,Suburban,250to499,ELA,Hispanic,Female,10to15
KY,Elementary,Rural,500to999,ELA,White,Female,16Plus
MD,Elementary,Rural,250to499,Math,Multirace,Female,3to9
MD,Middle,Suburban,250to499,ELA,White,Male,16Plus
CA,High,Urban,500to999,ELA,Black,Female,10to15
MA,Middle,Town,250to499,Math,White,Female,16Plus
CA,Elementary,Urban,250to499,Math,Hispanic,Female,3to9
LA,Elementary,Urban,250to499,ELA,White,Female,3to9
OH,Elementary,Town,500to999,ELA,Hispanic,Female,16Plus
NY,High,Urban,1000Plus,ELA,Hispanic,Female,16Plus
DE,Elementary,Suburban,500to999,NatSci,White,Female,10to15
AL,Elementary,Rural,1000Plus,Math,White,Female,16Plus
MA,Elementary,Town,500to999,Math,Asian,Male,3to9
MD,Middle,Rural,500to999,NatSci,White,Female,10to15
IL,Elementary,Rural,Lessthan250,Math,White,Female,16Plus
TN,High,Rural,1000Plus,ELA,White,Male,10to15
LA,Elementary,Suburban,250to499,Math,Hispanic,Female,16Plus
TN,High,Suburban,500to999,ELA,White,Female,16Plus
CA,High,Suburban,500to999,Math,White,Female,10to15
RI,Elementary,Suburban,250to499,ELA,White,Female,16Plus
TN,Elementary,Urban,250to499,NatSci,Black,Female,10to15
CA,Elementary,Urban,250to499,ELA,Hispanic,Male,16Plus
DE,High,Urban,500to999,ELA,White,Male,3to9
AL,High,Suburban,500to999,Math,White,Male,16Plus
MA,Elementary,Suburban,1000Plus,Math,White,Female,3to9
WV,Elementary,Urban,250to499,Math,Asian,Female,16Plus
OR,High,Town,500to999,Math,White,Female,16Plus
NM,High,Town,250to499,Math,White,Female,3to9
KY,High,Suburban,Lessthan250,Math,White,Female,16Plus
CA,Middle,Suburban,1000Plus,Math,White,Male,10to15
PA,Middle,Urban,1000Plus,NatSci,Black,Female,16Plus
NM,Middle,Urban,500to999,ELA,Hispanic,Female,16Plus
CO,Elementary,Rural,500to999,Math,Black,Female,3to9
RI,Middle,Suburban,250to499,NatSci,Hispanic,Female,10to15
OH,Elementary,Rural,500to999,Math,White,Female,3to9
FL,Middle,Urban,250to499,Math,White,Male,3to9
KY,High,Suburban,250to499,Math,White,Female,16Plus
LA,Elementary,Urban,500to999,ELA,White,Female,16Plus
NC,Middle,Town,Lessthan250,Math,White,Female,16Plus
CA,High,Suburban,500to999,Math,White,Female,10to15
FL,Elementary,Suburban,250to499,NatSci,White,Female,10to15
NE,Elementary,Rural,250to499,ELA,White,Female,16Plus
MA,Elementary,Town,500to999,Math,White,Female,16Plus
UT,Elementary,Rural,1000Plus,ELA,White,Female,10to15
CA,Elementary,Suburban,500to999,Math,White,Female,10to15
SC,High,Town,500to999,ELA,Hispanic,Female,16Plus
NY,Elementary,Suburban,Lessthan250,ELA,White,Female,10to15
DE,Elementary,Suburban,500to999,NatSci,White,Male,16Plus
CA,Elementary,Suburban,500to999,Math,White,Female,16Plus
LA,High,Town,500to999,Math,White,Female,10to15
NE,Middle,Suburban,Lessthan250,ELA,White,Female,3to9
MS,Middle,Rural,250to499,NatSci,White,Male,10to15
VA,High,Suburban,250to499,ELA,White,Male,10to15
OK,Middle,Rural,250to499,ELA,White,Female,10to15
IN,Elementary,Rural,500to999,ELA,White,Male,16Plus
KY,Middle,Suburban,500to999,ELA,Asian,Female,10to15
LA,High,Suburban,250to499,NatSci,White,Female,10to15
MS,High,Urban,250to499,Math,White,Male,16Plus
TN,High,Town,1000Plus,NatSci,White,Male,10to15
TN,Elementary,Suburban,500to999,Math,White,Female,16Plus
MS,High,Suburban,1000Plus,ELA,Hispanic,Female,16Plus
NV,Elementary,Rural,500to999,ELA,White,Female,16Plus
FL,Middle,Suburban,1000Plus,Math,White,Female,10to15
NE,Elementary,Suburban,Lessthan250,Math,White,Female,16Plus
CA,High,Urban,1000Plus,ELA,White,Female,16Plus
CO,Elementary,Suburban,500to999,ELA,Hispanic,Female,3to9
NE,Middle,Suburban,1000Plus,NatSci,White,Female,10to15
TN,Elementary,Town,250to499,ELA,White,Female,16Plus
NE,Middle,Rural,1000Plus,NatSci,White,Female,16Plus
RI,Middle,Rural,1000Plus,NatSci,White,Female,10to15
WI,Middle,Urban,500to999,ELA,Hispanic,Female,10to15
FL,Middle,Rural,Lessthan250,NatSci,White,Female,10to15
WI,High,Rural,500to999,NatSci,Hispanic,Female,16Plus
VA,Elementary,Urban,250to499,NatSci,Hispanic,Female,10to15
CA,High,Suburban,1000Plus,ELA,White,Female,16Plus
NE,Middle,Suburban,250to499,NatSci,White,Female,3to9
RI,Elementary,Suburban,250to499,ELA,Hispanic,Female,3to9
WI,High,Urban,250to499,ELA,Black,Female,16Plus
MS,Elementary,Suburban,500to999,Math,White,Male,10to15
KY,Elementary,Town,500to999,Math,Hispanic,Male,10to15
MS,High,Urban,250to499,ELA,White,Female,16Plus
CA,Middle,Suburban,500to999,ELA,White,Female,10to15
TX,High,Rural,1000Plus,ELA,White,Female,10to15
WV,Middle,Suburban,1000Plus,ELA,White,Female,16Plus
AR,Elementary,Town,Lessthan250,ELA,White,Female,16Plus
MA,High,Suburban,250to499,ELA,White,Female,10to15
NM,Elementary,Suburban,Lessthan250,NatSci,Hispanic,Female,16Plus
MA,Elementary,Suburban,250to499,ELA,Multirace,Female,16Plus
TX,Elementary,Urban,250to499,ELA,Hispanic,Female,3to9
DE,Elementary,Urban,1000Plus,ELA,White,Female,16Plus
MA,Elementary,Suburban,500to999,ELA,White,Female,16Plus
NE,High,Suburban,250to499,Math,Black,Female,16Plus
RI,Elementary,Urban,500to999,Math,White,Female,3to9
NY,Elementary,Suburban,250to499,ELA,White,Female,16Plus
NJ,Elementary,Rural,500to999,ELA,White,Female,10to15
CT,Middle,Urban,500to999,ELA,White,Male,10to15
DE,Elementary,Suburban,250to499,ELA,White,Female,3to9
MS,Middle,Urban,500to999,ELA,White,Female,16Plus
NY,Elementary,Urban,500to999,ELA,White,Female,3to9
OH,Middle,Town,500to999,ELA,White,Female,16Plus
DE,Elementary,Suburban,1000Plus,ELA,White,Female,16Plus
MS,Elementary,Rural,500to999,Math,White,Female,16Plus
NE,High,Rural,250to499,ELA,White,Female,16Plus
CA,Elementary,Urban,Lessthan250,NatSci,Multirace,Female,16Plus
IL,Elementary,Rural,500to999,ELA,Black,Female,10to15
KY,Elementary,Rural,500to999,Math,White,Male,10to15
NY,Elementary,Suburban,1000Plus,Math,White,Female,10to15
NE,Elementary,Suburban,500to999,ELA,White,Female,3to9
OH,High,Town,Lessthan250,ELA,White,Female,10to15
NY,Middle,Suburban,1000Plus,NatSci,White,Female,10to15
WI,Middle,Rural,1000Plus,ELA,White,Female,3to9
SC,Elementary,Rural,250to499,Math,White,Female,16Plus
SC,Elementary,Town,500to999,Math,White,Female,16Plus
AR,Elementary,Suburban,500to999,ELA,White,Female,16Plus
TX,Middle,Urban,500to999,Math,White,Female,16Plus
KY,High,Suburban,Lessthan250,Math,White,Female,10to15
NE,Elementary,Suburban,500to999,ELA,White,Female,16Plus
MS,Elementary,Rural,250to499,NatSci,White,Female,3to9
LA,High,Suburban,250to499,Math,White,Female,3to9
NE,High,Suburban,250to499,ELA,White,Male,16Plus
OK,Middle,Urban,250to499,Math,White,Female,10to15
PA,Elementary,Rural,250to499,Math,Hispanic,Female,16Plus
AR,High,Town,1000Plus,ELA,White,Female,10to15
LA,Elementary,Suburban,Lessthan250,Math,White,Male,16Plus
MS,Elementary,Urban,500to999,Math,Hispanic,Female,10to15
MA,Elementary,Urban,500to999,Math,White,Female,10to15
AR,Middle,Rural,250to499,Math,White,Female,16Plus
TX,Elementary,Rural,1000Plus,Math,White,Female,10to15
NY,Elementary,Suburban,500to999,NatSci,Hispanic,Female,16Plus
TN,High,Suburban,500to999,Math,White,Female,16Plus
AR,Middle,Rural,1000Plus,Math,White,Female,16Plus
NY,Elementary,Rural,250to499,ELA,Black,Female,10to15
FL,Elementary,Town,250to499,Math,White,Female,3to9
MS,Elementary,Urban,500to999,ELA,White,Female,10to15
WI,High,Rural,500to999,Math,White,Female,10to15
NE,Middle,Urban,500to999,Math,White,Female,10to15
IL,Middle,Rural,1000Plus,ELA,Hispanic,Male,16Plus
PA,High,Suburban,Lessthan250,ELA,White,Female,16Plus
MD,Elementary,Rural,500to999,Math,White,Female,10to15
RI,High,Urban,500to999,ELA,White,Female,3to9
NY,Elementary,Urban,250to499,ELA,White,Female,16Plus
LA,Elementary,Suburban,500to999,ELA,White,Female,16Plus
NC,Middle,Suburban,250to499,ELA,White,Female,Lessthan3
KY,Elementary,Rural,500to999,NatSci,White,Female,16Plus
DE,High,Urban,500to999,ELA,White,Female,10to15
AR,Elementary,Suburban,500to999,ELA,White,Female,16Plus
KY,Middle,Suburban,500to999,Math,White,Female,10to15
TN,Elementary,Suburban,1000Plus,ELA,White,Female,16Plus
PA,Elementary,Rural,250to499,Math,White,Female,16Plus
WI,High,Rural,250to499,Math,White,Female,16Plus
AR,Elementary,Urban,1000Plus,ELA,White,Male,16Plus
DE,High,Town,500to999,ELA,Hispanic,Female,3to9
WI,Middle,Town,1000Plus,NatSci,Black,Female,3to9
CA,Elementary,Rural,250to499,Math,White,Female,16Plus
MS,Elementary,Rural,500to999,ELA,White,Female,10to15
OH,Elementary,Suburban,250to499,Math,White,Female,10to15
AR,Elementary,Urban,500to999,ELA,White,Female,10to15
NM,High,Urban,Lessthan250,NatSci,White,Female,3to9
TN,Elementary,Suburban,500to999,ELA,White,Male,16Plus
MS,High,Suburban,1000Plus,Math,White,Female,16Plus
RI,Middle,Rural,250to499,NatSci,Black,Female,3to9
KY,Elementary,Urban,250to499,Math,White,Male,3to9
NC,Middle,Suburban,1000Plus,ELA,Black,Male,16Plus
DE,High,Town,250to499,Math,White,Male,10to15
MA,High,Suburban,250to499,Math,White,Female,10to15
FL,Elementary,Urban,1000Plus,Math,White,Female,16Plus
IL,Elementary,Suburban,500to999,ELA,White,Female,10to15
NY,Elementary,Urban,500to999,ELA,White,Male,3to9
NY,High,Urban,1000Plus,Math,White,Female,Lessthan3
FL,High,Urban,250to499,Math,White,Female,16Plus
TN,High,Urban,500to999,NatSci,White,Female,16Plus
FL,Elementary,Urban,500to999,Math,White,Female,10to15
CA,High,Suburban,500to999,ELA,White,Female,3to9
WV,High,Urban,500to999,ELA,White,Female,10to15
CA,Elementary,Urban,1000Plus,ELA,White,Female,16Plus
SC,Elementary,Rural,250to499,ELA,AIAN,Female,16Plus
KY,Elementary,Town,1000Plus,NatSci,White,Female,16Plus
FL,Elementary,Rural,500to999,Math,White,Female,16Plus
NC,Middle,Urban,500to999,ELA,White,Female,16Plus
CA,Elementary,Suburban,500to999,ELA,White,Male,10to15
OH,Elementary,Suburban,500to999,NatSci,White,Female,3to9
WV,Elementary,Suburban,250to499,Math,White,Female,16Plus
AR,High,Suburban,250to499,Math,White,Female,10to15
RI,Elementary,Town,Lessthan250,ELA,Black,Female,16Plus
DE,Middle,Rural,1000Plus,ELA,White,Female,16Plus
NY,High,Rural,500to999,ELA,White,Female,16Plus
IL,High,Rural,500to999,Math,White,Female,16Plus
DE,Elementary,Suburban,500to999,ELA,Black,Female,16Plus
KY,Middle,Suburban,500to999,Math,White,Male,16Plus
WV,High,Rural,1000Plus,ELA,White,Female,16Plus
GA,Elementary,Suburban,250to499,ELA,White,Female,10to15
RI,Middle,Urban,250to499,Math,White,Female,10to15
MA,Middle,Suburban,1000Plus,Math,White,Female,10to15
TN,High,Urban,1000Plus,NatSci,White,Female,16Plus
WI,High,Urban,500to999,ELA,White,Female,16Plus
WA,Elementary,Urban,250to499,ELA,White,Female,10to15
MS,Elementary,Urban,1000Plus,ELA,White,Female,16Plus
MS,High,Town,250to499,ELA,White,Female,10to15
NE,Elementary,Suburban,500to999,NatSci,White,Female,3to9
DE,High,Suburban,500to999,ELA,White,Female,16Plus
TN,Elementary,Rural,250to499,ELA,White,Female,3to9
TN,Elementary,Rural,500to999,ELA,White,Female,16Plus
KY,Elementary,Rural,250to499,Math,White,Female,3to9
NM,Elementary,Suburban,250to499,ELA,Black,Female,16Plus
OH,Elementary,Rural,500to999,NatSci,White,Male,10to15
TX,Elementary,Urban,250to499,NatSci,White,Female,3to9
CA,Elementary,Rural,250to499,Math,White,Female,16Plus
LA,Elementary,Rural,1000Plus,ELA,Hispanic,Female,3to9
MA,Middle,Suburban,Lessthan250,Math,Hispanic,Male,10to15
CA,Elementary,Urban,1000Plus,ELA,Black,Female,16Plus
KY,Middle,Rural,1000Plus,ELA,White,Female,16Plus
TN,Elementary,Suburban,1000Plus,ELA,White,Female,16Plus
NM,Elementary,Urban,1000Plus,Math,White,Female,3to9
NY,High,Suburban,500to999,Math,Asian,Female,16Plus
NE,High,Rural,Lessthan250,Math,White,Female,3to9
OH,High,Suburban,Lessthan250,NatSci,White,Female,16Plus
GA,Elementary,Town,Lessthan250,ELA,Other,Female,16Plus
MS,High,Urban,500to999,Math,White,Female,16Plus
KY,Middle,Suburban,500to999,NatSci,White,Female,3to9
WV,High,Town,1000Plus,NatSci,White,Male,16Plus
OH,High,Urban,500to999,Math,White,Female,16Plus
NY,High,Suburban,1000Plus,ELA,Hispanic,Female,10to15
MO,Elementary,Urban,250to499,Math,White,Female,10to15
DE,Elementary,Suburban,250to499,ELA,Hispanic,Female,3to9
MN,High,Suburban,250to499,Math,White,Female,3to9
MA,Middle,Suburban,250to499,ELA,White,Female,3to9
NY,Elementary,Town,Lessthan250,Math,Black,Male,3to9
LA,High,Suburban,250to499,NatSci,White,Female,10to15
MS,High,Suburban,Lessthan250,NatSci,White,Female,16Plus
NM,Elementary,Urban,250to499,NatSci,White,Male,10to15
MI,High,Suburban,500to999,ELA,White,Female,16Plus
TN,High,Suburban,1000Plus,ELA,White,Female,16Plus
MS,High,Urban,500to999,NatSci,White,Female,3to9
OK,Elementary,Suburban,500to999,ELA,White,Female,16Plus
KY,Elementary,Rural,1000Plus,ELA,White,Female,3to9
SC,Elementary,Rural,1000Plus,ELA,White,Female,10to15
MD,Middle,Rural,500to999,ELA,White,Female,10to15
RI,High,Rural,500to999,ELA,White,Female,10to15
WI,Elementary,Rural,500to999,Math,White,Female,3to9
MS,Elementary,Urban,250to499,ELA,White,Female,10to15
FL,Elementary,Urban,500to999,NatSci,Asian,Female,16Plus
VA,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
NY,Elementary,Urban,1000Plus,NatSci,White,Female,10to15
TX,Middle,Suburban,250to499,ELA,White,Female,10to15
MA,High,Suburban,500to999,NatSci,Hispanic,Female,10to15
TX,Middle,Town,1000Plus,ELA,White,Female,16Plus
AR,Middle,Town,250to499,NatSci,White,Female,3to9
TN,Elementary,Suburban,250to499,NatSci,Hispanic,Female,16Plus
FL,High,Urban,1000Plus,ELA,Black,Female,16Plus
DE,High,Rural,Lessthan250,NatSci,White,Female,3to9
TN,Elementary,Rural,250to499,Math,White,Male,10to15
FL,Middle,Suburban,500to999,NatSci,White,Female,10to15
NM,High,Rural,Lessthan250,ELA,White,Female,16Plus
TX,Elementary,Rural,1000Plus,ELA,White,Male,3to9
OH,Elementary,Rural,1000Plus,ELA,White,Male,3to9
LA,High,Urban,250to499,NatSci,Hispanic,Female,3to9
RI,Middle,Urban,500to999,NatSci,White,Female,16Plus
FL,Elementary,Suburban,250to499,ELA,White,Male,3to9
LA,High,Urban,250to499,ELA,Black,Female,16Plus
OH,High,Urban,Lessthan250,ELA,Black,Female,16Plus
IL,High,Rural,500to999,Math,Asian,Female,16Plus
KY,Elementary,Rural,1000Plus,Math,White,Male,3to9
MD,Middle,Suburban,250to499,Math,White,Female,10to15
CA,Elementary,Town,250to499,Math,White,Female,16Plus
MA,Elementary,Urban,1000Plus,NatSci,White,Female,3to9
CA,Elementary,Urban,500to999,NatSci,White,Male,16Plus
FL,Elementary,Suburban,1000Plus,NatSci,White,Female,16Plus
OH,Middle,Urban,250to499,ELA,White,Female,16Plus
DE,Elementary,Rural,250to499,NatSci,White,Male,16Plus
CA,Elementary,Suburban,250to499,NatSci,Black,Female,10to15
RI,Elementary,Urban,250to499,ELA,Hispanic,Male,16Plus
VA,Elementary,Rural,250to499,NatSci,White,Female,16Plus
GA,Middle,Rural,500to999,NatSci,White,Female,16Plus
LA,Elementary,Rural,500to999,ELA,White,Female,3to9
FL,High,Rural,500to999,Math,White,Female,16Plus
OH,Elementary,Suburban,500to999,Math,White,Female,16Plus
OH,Elementary,Urban,500to999,NatSci,Black,Female,10to15
TN,High,Urban,250to499,ELA,Hispanic,Female,3to9
MO,Elementary,Town,500to999,Math,White,Male,3to9
NY,Elementary,Urban,500to999,ELA,White,Female,16Plus
FL,High,Suburban,250to499,ELA,White,Male,16Plus
AR,Elementary,Suburban,500to999,Math,White,Female,10to15
IL,Elementary,Rural,500to999,Math,White,Female,16Plus
CA,High,Rural,1000Plus,NatSci,Hispanic,Female,16Plus
WI,Middle,Suburban,500to999,ELA,White,Female,16Plus
RI,Elementary,Urban,250to499,Math,White,Female,16Plus
CA,Middle,Suburban,500to999,Math,Hispanic,Female,16Plus
WI,High,Rural,500to999,Math,White,Male,16Plus
CA,Middle,Urban,500to999,ELA,White,Female,10to15
NE,Middle,Suburban,500to999,NatSci,White,Female,10to15
MA,Middle,Rural,250to499,NatSci,White,Female,3to9
GA,Elementary,Rural,250to499,ELA,Multirace,Male,16Plus
CA,High,Town,1000Plus,Math,White,Female,10to15
LA,High,Suburban,250to499,NatSci,Asian,Male,10to15
TX,Elementary,Urban,250to499,ELA,White,Male,3to9
IL,High,Town,250to499,ELA,White,Female,16Plus
NE,Elementary,Urban,250to499,Math,White,Female,10to15
NY,High,Rural,500to999,ELA,NHPI,Female,3to9
MA,Elementary,Urban,500to999,Math,White,Male,Lessthan3
TX,Elementary,Town,250to499,ELA,White,Female,10to15
FL,Elementary,Urban,250to499,Math,White,Female,16Plus
CA,Elementary,Suburban,500to999,Math,White,Female,10to15
LA,High,Urban,250to499,ELA,White,Female,10to15
LA,Elementary,Rural,250to499,NatSci,White,Female,3to9
AR,Middle,Urban,500to999,Math,White,Female,16Plus
TN,High,Rural,Lessthan250,ELA,White,Male,10to15
NC,High,Suburban,Lessthan250,Math,Hispanic,Female,16Plus
MA,Elementary,Urban,500to999,ELA,Multirace,Male,16Plus
MS,Middle,Rural,1000Plus,ELA,White,Female,10to15
