State,School_Level,School_Locality,School_Size,Subject,Race,Gender,Experience,pop_total
AL,Elementary,Town,250to499,NatSci,White,Male,16Plus,10
AL,Elementary,Town,500to999,ELA,Black,Female,Lessthan3,8
AL,Elementary,Town,500to999,ELA,White,Female,3to9,13
AL,Elementary,Town,500to999,ELA,White,Female,10to15,9
AL,Elementary,Town,500to999,Math,Other,Male,10to15,12
AL,Elementary,Town,500to999,Math,White,Male,16Plus,10
AL,Elementary,Town,Lessthan250,NatSci,White,Female,10to15,14
AL,Elementary,Urban,1000Plus,ELA,White,Female,10to15,6
AL,Elementary,Urban,1000Plus,Math,Hispanic,Male,3to9,12
AL,Elementary,Urban,1000Plus,Math,White,Female,10to15,7
AL,Elementary,Urban,1000Plus,NatSci,Black,Female,16Plus,20
AL,Elementary,Urban,1000Plus,NatSci,White,Female,16Plus,9
AL,Elementary,Urban,250to499,ELA,Black,Female,3to9,13
AL,Elementary,Urban,250to499,ELA,Black,Male,3to9,5
AL,Elementary,Urban,250to499,ELA,White,Female,3to9,14
AL,Elementary,Urban,250to499,ELA,White,Female,16Plus,6
AL,Elementary,Urban,250to499,Math,White,Female,3to9,27
AL,Elementary,Urban,250to499,Math,White,Female,16Plus,2
AL,Elementary,Urban,250to499,NatSci,Hispanic,Female,10to15,11
AL,Elementary,Urban,500to999,ELA,White,Female,3to9,9
AL,Elementary,Urban,500to999,Math,White,Female,16Plus,7
AL,Elementary,Urban,Lessthan250,NatSci,White,Female,16Plus,6
AL,High,Rural,1000Plus,ELA,White,Female,16Plus,6
AL,High,Rural,1000Plus,Math,Other,Female,16Plus,8
AL,High,Rural,250to499,ELA,White,Female,10to15,21
AL,High,Rural,250to499,ELA,White,Female,16Plus,16
AL,High,Rural,250to499,Math,White,Male,16Plus,17
AL,High,Rural,500to999,ELA,White,Female,10to15,10
AL,High,Rural,500to999,ELA,White,Male,3to9,8
AL,High,Rural,500to999,Math,White,Female,3to9,18
AL,High,Rural,500to999,NatSci,White,Female,10to15,13
AL,High,Suburban,1000Plus,ELA,Hispanic,Female,10to15,11
AL,High,Suburban,1000Plus,Math,White,Female,10to15,14
AL,High,Suburban,250to499,ELA,White,Female,10to15,13
AL,High,Suburban,250to499,Math,Black,Female,10to15,8
AL,High,Suburban,250to499,Math,White,Female,3to9,5
AL,High,Suburban,250to499,Math,White,Male,16Plus,19
AL,High,Suburban,500to999,Math,White,Female,10to15,15
AL,High,Suburban,500to999,Math,White,Male,16Plus,12
AL,High,Suburban,500to999,NatSci,White,Female,16Plus,12
AL,High,Town,1000Plus,ELA,White,Female,10to15,16
AL,High,Town,250to499,ELA,White,Female,10to15,11
AL,High,Town,250to499,ELA,White,Female,16Plus,7
AL,High,Town,250to499,Math,Black,Female,16Plus,14
AL,High,Town,250to499,NatSci,White,Female,10to15,13
AL,High,Town,500to999,ELA,White,Female,3to9,18
AL,High,Town,500to999,Math,White,Female,10to15,11
AL,High,Town,Lessthan250,Math,White,Female,10to15,12
AL,High,Urban,250to499,Math,White,Female,3to9,13
AL,High,Urban,500to999,ELA,NHPI,Male,10to15,7
AL,High,Urban,500to999,ELA,White,Female,10to15,18
AL,High,Urban,500to999,ELA,White,Female,16Plus,6
AL,High,Urban,500to999,Math,White,Female,10to15,5
AL,High,Urban,500to999,Math,White,Female,16Plus,23
AL,High,Urban,500to999,Math,White,Male,3to9,7
AL,High,Urban,500to999,NatSci,White,Female,10to15,6
AL,Middle,Rural,1000Plus,Math,White,Female,10to15,4
AL,Middle,Rural,250to499,ELA,White,Female,3to9,8
AL,Middle,Rural,250to499,Math,White,Female,16Plus,8
AL,Middle,Rural,500to999,Math,White,Female,10to15,6
AL,Middle,Suburban,1000Plus,Math,White,Male,10to15,13
AL,Middle,Suburban,250to499,ELA,White,Female,3to9,5
AL,Middle,Suburban,500to999,Math,Black,Female,3to9,8
AL,Middle,Suburban,500to999,Math,White,Female,16Plus,19
AL,Middle,Suburban,500to999,NatSci,White,Female,3to9,12
AL,Middle,Suburban,500to999,NatSci,White,Female,16Plus,16
AL,Middle,Suburban,Lessthan250,NatSci,White,Female,16Plus,9
AL,Middle,Town,1000Plus,NatSci,White,Female,10to15,25
AL,Middle,Town,250to499,ELA,White,Female,16Plus,21
AL,Middle,Town,250to499,Math,White,Female,3to9,11
AL,Middle,Town,500to999,Math,White,Female,3to9,22
AL,Middle,Town,Lessthan250,NatSci,Black,Female,16Plus,8
AL,Middle,Urban,250to499,Math,White,Male,3to9,12
AL,Middle,Urban,500to999,ELA,White,Female,16Plus,11
AR,Elementary,Rural,1000Plus,ELA,White,Female,3to9,11
AR,Elementary,Rural,1000Plus,ELA,White,Female,16Plus,12
AR,Elementary,Rural,1000Plus,ELA,White,Male,3to9,21
AR,Elementary,Rural,1000Plus,ELA,White,Male,16Plus,9
AR,Elementary,Rural,1000Plus,Math,White,Female,10to15,17
AR,Elementary,Rural,1000Plus,Math,White,Female,16Plus,21
AR,Elementary,Rural,1000Plus,Math,White,Male,3to9,7
AR,Elementary,Rural,1000Plus,Math,White,Male,16Plus,15
AR,Elementary,Rural,1000Plus,NatSci,Black,Female,16Plus,8
AR,Elementary,Rural,1000Plus,NatSci,White,Female,16Plus,20
AR,Elementary,Rural,250to499,ELA,Black,Female,10to15,15
AR,Elementary,Rural,250to499,ELA,Hispanic,Female,3to9,14
AR,Elementary,Rural,250to499,ELA,Hispanic,Female,10to15,9
AR,Elementary,Rural,250to499,ELA,Hispanic,Female,16Plus,12
AR,Elementary,Rural,250to499,ELA,Multirace,Female,3to9,18
AR,Elementary,Rural,250to499,ELA,White,Female,3to9,18
AR,Elementary,Rural,250to499,ELA,White,Female,10to15,12
AR,Elementary,Rural,250to499,ELA,White,Female,16Plus,14
AR,Elementary,Rural,250to499,ELA,White,Male,3to9,10
AR,Elementary,Rural,250to499,Math,White,Female,3to9,7
AR,Elementary,Rural,250to499,Math,White,Female,10to15,17
AR,Elementary,Rural,250to499,Math,White,Female,16Plus,6
AR,Elementary,Rural,250to499,Math,White,Male,3to9,8
AR,Elementary,Rural,250to499,NatSci,Black,Male,16Plus,7
AR,Elementary,Rural,250to499,NatSci,White,Female,3to9,15
AR,Elementary,Rural,250to499,NatSci,White,Female,10to15,17
AR,Elementary,Rural,250to499,NatSci,White,Female,16Plus,20
AR,Elementary,Rural,500to999,ELA,Hispanic,Female,3to9,22
AR,Elementary,Rural,500to999,ELA,Other,Female,3to9,13
AR,Elementary,Rural,500to999,ELA,White,Female,3to9,3
AR,Elementary,Rural,500to999,ELA,White,Female,10to15,10
AR,Elementary,Rural,500to999,ELA,White,Female,16Plus,19
AR,Elementary,Rural,500to999,ELA,White,Male,3to9,20
AR,Elementary,Rural,500to999,ELA,White,Male,16Plus,23
AR,Elementary,Rural,500to999,Math,White,Female,3to9,9
AR,Elementary,Rural,500to999,Math,White,Female,16Plus,24
AR,Elementary,Rural,500to999,Math,White,Male,16Plus,22
AR,Elementary,Rural,500to999,NatSci,AIAN,Female,16Plus,9
AR,Elementary,Rural,500to999,NatSci,White,Female,3to9,36
AR,Elementary,Rural,500to999,NatSci,White,Female,10to15,14
AR,Elementary,Rural,500to999,NatSci,White,Female,16Plus,20
AR,Elementary,Rural,Lessthan250,ELA,Black,Female,3to9,8
AR,Elementary,Rural,Lessthan250,ELA,White,Female,10to15,14
AR,Elementary,Rural,Lessthan250,ELA,White,Female,16Plus,10
AR,Elementary,Rural,Lessthan250,ELA,White,Male,3to9,4
AR,Elementary,Rural,Lessthan250,Math,Multirace,Female,10to15,10
AR,Elementary,Suburban,1000Plus,ELA,Hispanic,Female,10to15,20
AR,Elementary,Suburban,1000Plus,ELA,White,Female,3to9,19
AR,Elementary,Suburban,1000Plus,ELA,White,Female,10to15,15
AR,Elementary,Suburban,1000Plus,ELA,White,Female,16Plus,20
AR,Elementary,Suburban,1000Plus,Math,Black,Female,16Plus,14
AR,Elementary,Suburban,1000Plus,Math,Black,Male,10to15,6
AR,Elementary,Suburban,1000Plus,Math,White,Female,3to9,20
AR,Elementary,Suburban,1000Plus,Math,White,Female,16Plus,18
AR,Elementary,Suburban,1000Plus,Math,White,Male,16Plus,22
AR,Elementary,Suburban,250to499,ELA,Black,Female,3to9,9
AR,Elementary,Suburban,250to499,ELA,Multirace,Male,16Plus,23
AR,Elementary,Suburban,250to499,ELA,White,Female,3to9,36
AR,Elementary,Suburban,250to499,ELA,White,Female,10to15,23
AR,Elementary,Suburban,250to499,ELA,White,Female,16Plus,21
AR,Elementary,Suburban,250to499,ELA,White,Male,3to9,14
AR,Elementary,Suburban,250to499,ELA,White,Male,10to15,11
AR,Elementary,Suburban,250to499,ELA,White,Male,16Plus,21
AR,Elementary,Suburban,250to499,Math,Asian,Male,16Plus,7
AR,Elementary,Suburban,250to499,Math,White,Female,3to9,40
AR,Elementary,Suburban,250to499,Math,White,Female,16Plus,41
AR,Elementary,Suburban,250to499,NatSci,Hispanic,Male,16Plus,6
AR,Elementary,Suburban,250to499,NatSci,Multirace,Female,3to9,16
AR,Elementary,Suburban,250to499,NatSci,White,Female,10to15,13
AR,Elementary,Suburban,500to999,ELA,AIAN,Female,16Plus,16
AR,Elementary,Suburban,500to999,ELA,Black,Female,10to15,8
AR,Elementary,Suburban,500to999,ELA,Black,Female,16Plus,10
AR,Elementary,Suburban,500to999,ELA,Hispanic,Female,10to15,15
AR,Elementary,Suburban,500to999,ELA,Hispanic,Female,16Plus,19
AR,Elementary,Suburban,500to999,ELA,White,Female,3to9,15
AR,Elementary,Suburban,500to999,ELA,White,Female,10to15,22
AR,Elementary,Suburban,500to999,ELA,White,Female,16Plus,29
AR,Elementary,Suburban,500to999,ELA,White,Male,3to9,13
AR,Elementary,Suburban,500to999,Math,Black,Female,10to15,12
AR,Elementary,Suburban,500to999,Math,NHPI,Male,10to15,10
AR,Elementary,Suburban,500to999,Math,White,Female,3to9,15
AR,Elementary,Suburban,500to999,Math,White,Female,10to15,32
AR,Elementary,Suburban,500to999,Math,White,Female,16Plus,17
AR,Elementary,Suburban,500to999,Math,White,Male,Lessthan3,17
AR,Elementary,Suburban,500to999,Math,White,Male,10to15,11
AR,Elementary,Suburban,500to999,Math,White,Male,16Plus,9
AR,Elementary,Suburban,500to999,NatSci,Hispanic,Female,10to15,6
AR,Elementary,Suburban,500to999,NatSci,Hispanic,Male,10to15,10
AR,Elementary,Suburban,500to999,NatSci,White,Female,16Plus,26
AR,Elementary,Suburban,500to999,NatSci,White,Male,16Plus,7
AR,Elementary,Suburban,Lessthan250,ELA,White,Female,10to15,18
AR,Elementary,Suburban,Lessthan250,ELA,White,Female,16Plus,7
AR,Elementary,Suburban,Lessthan250,Math,White,Female,3to9,6
AR,Elementary,Suburban,Lessthan250,Math,White,Female,10to15,10
AR,Elementary,Suburban,Lessthan250,NatSci,White,Female,3to9,4
AR,Elementary,Town,1000Plus,ELA,Black,Female,3to9,6
AR,Elementary,Town,1000Plus,ELA,White,Female,10to15,13
AR,Elementary,Town,1000Plus,Math,White,Female,3to9,9
AR,Elementary,Town,1000Plus,NatSci,White,Female,10to15,14
AR,Elementary,Town,250to499,ELA,Hispanic,Female,16Plus,13
AR,Elementary,Town,250to499,ELA,White,Female,16Plus,24
AR,Elementary,Town,250to499,ELA,White,Male,16Plus,16
AR,Elementary,Town,250to499,Math,Multirace,Female,10to15,4
AR,Elementary,Town,250to499,Math,White,Female,10to15,20
AR,Elementary,Town,250to499,Math,White,Female,16Plus,14
AR,Elementary,Town,250to499,NatSci,Multirace,Female,16Plus,10
AR,Elementary,Town,250to499,NatSci,White,Female,16Plus,13
AR,Elementary,Town,500to999,ELA,Asian,Female,16Plus,22
AR,Elementary,Town,500to999,ELA,Black,Male,3to9,16
AR,Elementary,Town,500to999,ELA,White,Female,3to9,17
AR,Elementary,Town,500to999,ELA,White,Female,10to15,15
AR,Elementary,Town,500to999,ELA,White,Female,16Plus,17
AR,Elementary,Town,500to999,Math,White,Female,3to9,7
AR,Elementary,Town,500to999,Math,White,Female,16Plus,16
AR,Elementary,Town,500to999,NatSci,White,Female,3to9,13
AR,Elementary,Town,500to999,NatSci,White,Female,16Plus,12
AR,Elementary,Town,Lessthan250,ELA,Hispanic,Male,16Plus,13
AR,Elementary,Town,Lessthan250,ELA,White,Female,3to9,15
AR,Elementary,Town,Lessthan250,ELA,White,Female,16Plus,12
AR,Elementary,Town,Lessthan250,Math,White,Female,16Plus,10
AR,Elementary,Town,Lessthan250,Math,White,Male,3to9,10
AR,Elementary,Town,Lessthan250,Math,White,Male,16Plus,15
AR,Elementary,Urban,1000Plus,ELA,Black,Male,16Plus,11
AR,Elementary,Urban,1000Plus,ELA,White,Female,3to9,24
AR,Elementary,Urban,1000Plus,ELA,White,Female,10to15,18
AR,Elementary,Urban,1000Plus,ELA,White,Female,16Plus,23
AR,Elementary,Urban,1000Plus,ELA,White,Male,16Plus,12
AR,Elementary,Urban,1000Plus,Math,Black,Female,10to15,10
AR,Elementary,Urban,1000Plus,Math,White,Female,10to15,5
AR,Elementary,Urban,1000Plus,Math,White,Female,16Plus,18
AR,Elementary,Urban,1000Plus,Math,White,Male,3to9,8
AR,Elementary,Urban,1000Plus,NatSci,White,Female,10to15,20
AR,Elementary,Urban,1000Plus,NatSci,White,Female,16Plus,4
AR,Elementary,Urban,250to499,ELA,Hispanic,Male,3to9,20
AR,Elementary,Urban,250to499,ELA,Multirace,Male,16Plus,13
AR,Elementary,Urban,250to499,ELA,White,Female,3to9,23
AR,Elementary,Urban,250to499,ELA,White,Female,10to15,6
AR,Elementary,Urban,250to499,ELA,White,Female,16Plus,24
AR,Elementary,Urban,250to499,ELA,White,Male,16Plus,11
AR,Elementary,Urban,250to499,Math,White,Female,3to9,16
AR,Elementary,Urban,250to499,Math,White,Female,10to15,21
AR,Elementary,Urban,250to499,Math,White,Female,16Plus,9
AR,Elementary,Urban,250to499,Math,White,Male,3to9,11
AR,Elementary,Urban,250to499,Math,White,Male,10to15,27
AR,Elementary,Urban,250to499,Math,White,Male,16Plus,16
AR,Elementary,Urban,250to499,NatSci,Multirace,Female,10to15,20
AR,Elementary,Urban,250to499,NatSci,White,Female,10to15,25
AR,Elementary,Urban,250to499,NatSci,White,Male,16Plus,20
AR,Elementary,Urban,500to999,ELA,Hispanic,Male,3to9,7
AR,Elementary,Urban,500to999,ELA,White,Female,3to9,26
AR,Elementary,Urban,500to999,ELA,White,Female,10to15,28
AR,Elementary,Urban,500to999,ELA,White,Female,16Plus,37
AR,Elementary,Urban,500to999,ELA,White,Male,3to9,11
AR,Elementary,Urban,500to999,ELA,White,Male,10to15,17
AR,Elementary,Urban,500to999,ELA,White,Male,16Plus,19
AR,Elementary,Urban,500to999,Math,White,Female,16Plus,4
AR,Elementary,Urban,500to999,Math,White,Male,3to9,6
AR,Elementary,Urban,500to999,Math,White,Male,10to15,15
AR,Elementary,Urban,500to999,Math,White,Male,16Plus,6
AR,Elementary,Urban,500to999,NatSci,Black,Male,3to9,7
AR,Elementary,Urban,500to999,NatSci,Hispanic,Female,10to15,25
AR,Elementary,Urban,500to999,NatSci,Hispanic,Female,16Plus,2
AR,Elementary,Urban,500to999,NatSci,White,Female,3to9,20
AR,Elementary,Urban,500to999,NatSci,White,Female,16Plus,10
AR,Elementary,Urban,Lessthan250,Math,Black,Male,10to15,14
AR,Elementary,Urban,Lessthan250,Math,White,Female,16Plus,15
AR,Elementary,Urban,Lessthan250,NatSci,White,Female,3to9,7
AR,High,Rural,1000Plus,ELA,White,Female,3to9,11
AR,High,Rural,1000Plus,ELA,White,Female,16Plus,21
AR,High,Rural,1000Plus,Math,Black,Female,16Plus,9
AR,High,Rural,1000Plus,Math,White,Female,16Plus,5
AR,High,Rural,1000Plus,NatSci,White,Male,3to9,14
AR,High,Rural,250to499,ELA,Hispanic,Female,16Plus,7
AR,High,Rural,250to499,ELA,White,Female,Lessthan3,5
AR,High,Rural,250to499,ELA,White,Female,3to9,8
AR,High,Rural,250to499,ELA,White,Female,10to15,26
AR,High,Rural,250to499,Math,Asian,Male,10to15,14
AR,High,Rural,250to499,Math,Black,Female,10to15,14
AR,High,Rural,250to499,NatSci,White,Female,3to9,17
AR,High,Rural,500to999,ELA,Black,Female,3to9,8
AR,High,Rural,500to999,ELA,White,Female,3to9,14
AR,High,Rural,500to999,ELA,White,Female,16Plus,11
AR,High,Rural,500to999,Math,Hispanic,Female,10to15,19
AR,High,Rural,500to999,Math,White,Female,3to9,14
AR,High,Rural,500to999,Math,White,Female,16Plus,10
AR,High,Rural,500to999,NatSci,Hispanic,Female,3to9,20
AR,High,Rural,500to999,NatSci,Hispanic,Female,16Plus,11
AR,High,Rural,500to999,NatSci,White,Female,10to15,16
AR,High,Rural,500to999,NatSci,White,Female,16Plus,14
AR,High,Suburban,1000Plus,ELA,Black,Male,3to9,9
AR,High,Suburban,1000Plus,ELA,White,Female,10to15,17
AR,High,Suburban,1000Plus,ELA,White,Female,16Plus,19
AR,High,Suburban,1000Plus,ELA,White,Male,10to15,11
AR,High,Suburban,1000Plus,ELA,White,Male,16Plus,24
AR,High,Suburban,1000Plus,Math,White,Female,10to15,11
AR,High,Suburban,1000Plus,Math,White,Male,3to9,13
AR,High,Suburban,1000Plus,Math,White,Male,16Plus,18
AR,High,Suburban,1000Plus,NatSci,Hispanic,Female,16Plus,10
AR,High,Suburban,1000Plus,NatSci,White,Female,Lessthan3,19
AR,High,Suburban,1000Plus,NatSci,White,Female,3to9,12
AR,High,Suburban,250to499,ELA,White,Female,16Plus,4
AR,High,Suburban,250to499,ELA,White,Male,Lessthan3,17
AR,High,Suburban,250to499,Math,White,Female,3to9,11
AR,High,Suburban,250to499,Math,White,Female,10to15,12
AR,High,Suburban,250to499,Math,White,Female,16Plus,26
AR,High,Suburban,250to499,Math,White,Male,10to15,7
AR,High,Suburban,250to499,NatSci,White,Female,3to9,4
AR,High,Suburban,250to499,NatSci,White,Female,10to15,12
AR,High,Suburban,250to499,NatSci,White,Female,16Plus,14
AR,High,Suburban,250to499,NatSci,White,Male,3to9,19
AR,High,Suburban,500to999,ELA,Black,Female,3to9,14
AR,High,Suburban,500to999,ELA,Hispanic,Female,3to9,13
AR,High,Suburban,500to999,ELA,Other,Female,16Plus,13
AR,High,Suburban,500to999,ELA,White,Female,3to9,14
AR,High,Suburban,500to999,ELA,White,Female,10to15,10
AR,High,Suburban,500to999,ELA,White,Female,16Plus,10
AR,High,Suburban,500to999,ELA,White,Male,3to9,26
AR,High,Suburban,500to999,Math,Black,Female,10to15,22
AR,High,Suburban,500to999,Math,White,Female,Lessthan3,9
AR,High,Suburban,500to999,Math,White,Female,10to15,12
AR,High,Suburban,500to999,Math,White,Female,16Plus,27
AR,High,Suburban,500to999,NatSci,White,Female,3to9,18
AR,High,Suburban,500to999,NatSci,White,Female,10to15,8
AR,High,Suburban,500to999,NatSci,White,Female,16Plus,24
AR,High,Suburban,500to999,NatSci,White,Male,3to9,9
AR,High,Suburban,Lessthan250,ELA,White,Female,3to9,19
AR,High,Suburban,Lessthan250,Math,Multirace,Male,10to15,19
AR,High,Suburban,Lessthan250,NatSci,White,Female,3to9,8
AR,High,Suburban,Lessthan250,NatSci,White,Female,16Plus,9
AR,High,Town,1000Plus,ELA,Hispanic,Female,16Plus,14
AR,High,Town,1000Plus,ELA,White,Female,3to9,10
AR,High,Town,1000Plus,ELA,White,Female,10to15,6
AR,High,Town,1000Plus,ELA,White,Female,16Plus,20
AR,High,Town,1000Plus,Math,Hispanic,Female,16Plus,18
AR,High,Town,1000Plus,Math,White,Female,3to9,10
AR,High,Town,1000Plus,NatSci,Asian,Female,3to9,6
AR,High,Town,1000Plus,NatSci,White,Female,10to15,21
AR,High,Town,1000Plus,NatSci,White,Female,16Plus,12
AR,High,Town,1000Plus,NatSci,White,Male,16Plus,12
AR,High,Town,250to499,ELA,Asian,Female,Lessthan3,14
AR,High,Town,250to499,ELA,Hispanic,Female,16Plus,10
AR,High,Town,250to499,ELA,White,Female,10to15,16
AR,High,Town,250to499,ELA,White,Female,16Plus,26
AR,High,Town,250to499,Math,Black,Female,16Plus,8
AR,High,Town,250to499,Math,Hispanic,Female,3to9,9
AR,High,Town,250to499,Math,Hispanic,Male,16Plus,17
AR,High,Town,250to499,Math,White,Female,3to9,10
AR,High,Town,250to499,NatSci,White,Female,3to9,4
AR,High,Town,250to499,NatSci,White,Female,10to15,19
AR,High,Town,500to999,ELA,Black,Female,10to15,12
AR,High,Town,500to999,ELA,Hispanic,Female,3to9,10
AR,High,Town,500to999,ELA,Hispanic,Male,16Plus,14
AR,High,Town,500to999,ELA,White,Female,10to15,14
AR,High,Town,500to999,ELA,White,Female,16Plus,23
AR,High,Town,500to999,NatSci,White,Female,3to9,18
AR,High,Urban,1000Plus,ELA,White,Female,10to15,11
AR,High,Urban,1000Plus,ELA,White,Female,16Plus,18
AR,High,Urban,1000Plus,ELA,White,Male,3to9,17
AR,High,Urban,1000Plus,ELA,White,Male,16Plus,5
AR,High,Urban,1000Plus,Math,Other,Female,16Plus,6
AR,High,Urban,1000Plus,Math,White,Female,10to15,2
AR,High,Urban,1000Plus,Math,White,Female,16Plus,10
AR,High,Urban,1000Plus,NatSci,Black,Male,3to9,10
AR,High,Urban,1000Plus,NatSci,White,Male,10to15,19
AR,High,Urban,250to499,ELA,White,Female,10to15,4
AR,High,Urban,250to499,ELA,White,Female,16Plus,17
AR,High,Urban,250to499,NatSci,Black,Female,10to15,14
AR,High,Urban,500to999,ELA,Black,Female,10to15,13
AR,High,Urban,500to999,ELA,Black,Female,16Plus,7
AR,High,Urban,500to999,ELA,White,Female,3to9,17
AR,High,Urban,500to999,ELA,White,Female,10to15,20
AR,High,Urban,500to999,ELA,White,Female,16Plus,11
AR,High,Urban,500to999,ELA,White,Male,3to9,13
AR,High,Urban,500to999,Math,White,Female,16Plus,21
AR,High,Urban,500to999,Math,White,Male,10to15,11
AR,High,Urban,500to999,NatSci,White,Female,3to9,3
AR,High,Urban,500to999,NatSci,White,Female,10to15,17
AR,High,Urban,500to999,NatSci,White,Female,16Plus,11
AR,High,Urban,500to999,NatSci,White,Male,16Plus,17
AR,High,Urban,Lessthan250,Math,White,Male,3to9,6
AR,Middle,Rural,1000Plus,ELA,NHPI,Female,16Plus,17
AR,Middle,Rural,1000Plus,ELA,White,Female,10to15,7
AR,Middle,Rural,1000Plus,Math,Hispanic,Female,3to9,8
AR,Middle,Rural,1000Plus,Math,White,Female,3to9,17
AR,Middle,Rural,1000Plus,Math,White,Female,16Plus,23
AR,Middle,Rural,1000Plus,NatSci,Hispanic,Female,16Plus,11
AR,Middle,Rural,250to499,ELA,White,Female,10to15,9
AR,Middle,Rural,250to499,ELA,White,Female,16Plus,8
AR,Middle,Rural,250to499,Math,White,Female,16Plus,12
AR,Middle,Rural,250to499,NatSci,White,Female,3to9,3
AR,Middle,Rural,500to999,ELA,Hispanic,Male,16Plus,2
AR,Middle,Rural,500to999,Math,Hispanic,Female,10to15,11
AR,Middle,Rural,500to999,Math,White,Female,3to9,11
AR,Middle,Rural,500to999,NatSci,White,Female,16Plus,28
AR,Middle,Rural,Lessthan250,ELA,White,Female,16Plus,8
AR,Middle,Rural,Lessthan250,NatSci,White,Male,10to15,11
AR,Middle,Suburban,1000Plus,Math,Black,Female,3to9,4
AR,Middle,Suburban,1000Plus,Math,White,Female,3to9,16
AR,Middle,Suburban,1000Plus,Math,White,Female,10to15,4
AR,Middle,Suburban,1000Plus,Math,White,Female,16Plus,15
AR,Middle,Suburban,1000Plus,Math,White,Male,10to15,6
AR,Middle,Suburban,250to499,ELA,White,Female,10to15,15
AR,Middle,Suburban,250to499,ELA,White,Male,3to9,17
AR,Middle,Suburban,250to499,Math,White,Female,3to9,8
AR,Middle,Suburban,250to499,Math,White,Male,16Plus,7
AR,Middle,Suburban,250to499,NatSci,White,Female,3to9,14
AR,Middle,Suburban,250to499,NatSci,White,Female,16Plus,38
AR,Middle,Suburban,500to999,ELA,White,Female,3to9,4
AR,Middle,Suburban,500to999,ELA,White,Female,10to15,17
AR,Middle,Suburban,500to999,ELA,White,Female,16Plus,12
AR,Middle,Suburban,500to999,Math,White,Female,3to9,7
AR,Middle,Suburban,500to999,Math,White,Female,10to15,10
AR,Middle,Suburban,500to999,Math,White,Female,16Plus,6
AR,Middle,Suburban,500to999,NatSci,Other,Female,10to15,10
AR,Middle,Suburban,500to999,NatSci,White,Female,3to9,9
AR,Middle,Suburban,500to999,NatSci,White,Female,16Plus,12
AR,Middle,Suburban,500to999,NatSci,White,Male,16Plus,8
AR,Middle,Suburban,Lessthan250,ELA,Black,Female,3to9,9
AR,Middle,Suburban,Lessthan250,ELA,Black,Female,10to15,22
AR,Middle,Suburban,Lessthan250,NatSci,White,Male,16Plus,9
AR,Middle,Town,1000Plus,ELA,Black,Female,3to9,9
AR,Middle,Town,1000Plus,Math,White,Female,10to15,9
AR,Middle,Town,1000Plus,Math,White,Female,16Plus,8
AR,Middle,Town,250to499,ELA,White,Female,10to15,13
AR,Middle,Town,250to499,ELA,White,Female,16Plus,19
AR,Middle,Town,250to499,NatSci,White,Female,3to9,12
AR,Middle,Town,500to999,ELA,Black,Female,3to9,16
AR,Middle,Town,500to999,Math,White,Female,16Plus,17
AR,Middle,Town,500to999,NatSci,White,Male,16Plus,6
AR,Middle,Urban,1000Plus,ELA,White,Female,16Plus,12
AR,Middle,Urban,1000Plus,Math,White,Female,10to15,6
AR,Middle,Urban,1000Plus,NatSci,Black,Female,Lessthan3,4
AR,Middle,Urban,1000Plus,NatSci,White,Female,10to15,6
AR,Middle,Urban,250to499,ELA,White,Female,16Plus,20
AR,Middle,Urban,250to499,NatSci,White,Female,Lessthan3,12
AR,Middle,Urban,250to499,NatSci,White,Female,3to9,16
